selfies,smiles
[C][=C][Branch2][Ring1][Branch1][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][C][C][Ring1][N][N][=N][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][Ring2][Ring1][#Branch2][=O],C1=C(NCCC(C2=CC=CC=C2)=O)NN(CC3=CC=CC=C3F)C1=O
[O][=C][Branch1][#C][C][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][N][Ring1][=Branch2][C][C][=C][N][Branch1][C][C][N][=C][Ring1][=Branch1][N][=C][Ring1][#C],O=C(CN[C@@H1](CC(N)=O)N)CC1=CN(C)N=C1N=C
[O][=C][N][Branch1][C][C][N][=C][C][=Ring1][#Branch1][N][C][=N][C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][=O][O][C][C][=Branch1][C][=O][N][Ring2][Ring1][Ring2][C],O=CN(C)N=CCNC=NC(CN1CCOCC1)=O
[C][=N][C][=C][Branch2][Ring2][#Branch1][C][=Branch1][C][=O][N][N][=N][C][Branch2][Ring1][C][C][N][Branch1][=Branch2],C=NC=CC(=O)NN=NCCN
[O][C][Branch1][C][F][Branch1][C][F][C][=C][C][=C][Branch2][Ring2][=Branch1][C][=Branch1][C][=O][N][C][C][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][C][=C][C][=C][O][Ring1][Branch1][C][C][Ring1][=N][C][C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][S],OC(F)(F)C=CC=C(C(=O)NCCC1(C(=O)NC2CC(=O)N(CC3=CC=CO3)C)C2)CC1C=C
[C][N][Branch2][Ring1][Branch1],CN
[C][Branch2][Ring1][=C][C][N][C][=C][Branch2][Ring1][C][C][Branch1][S][N][C][=C][Branch1][Branch1][NH1][C][C][#N][C][=C][Ring1][Branch2][=O][C][=C][Ring1][P][C][N][N][=N][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][=Branch2],C(C1N2C=C(CNC3=C([NH1]CC#N)C=C3OC)C1C)NN=NC=CC=CC2
[C][Branch1][C][C][=C][Branch2][Ring1][S][N][C][Branch2][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C@H1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O][C][=C][Ring2][Ring1][=Branch2][C],C1(C)=C(NC(CNC(=O)[C@H1]2NC(=O)[C@@H1]C3=CC=CC=C3)C2)OC=C1C
[O-1][N+1][=Branch1][C][=O][C][C@@H1][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch2][Ring1][Ring2][N][Branch1][S][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][C][=O][C][Ring2][Ring1][#Branch2],[O-1][N+1](=O)C[C@@H1](C1CCCCC1)C=C(N(C(CCC2=CC=CC=C2)=O)O)C
[C][=C][Branch2][Ring2][=Branch1][N][Branch1][S][C][C][C][=N][N][Branch1][Ring1][C][C][C][=C][Ring1][Branch2][C][=Ring1][#C][C][C][N][Branch1][S][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C],C=1=CN(CC2C=NN(CC)C=C2C=1)CCNC(=O)C3CCCCC3C
[C][C][C@@H1][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][N][C][=C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][=N][N][Branch1][C][C][C][=Ring1][#Branch1][C][C][=C][Ring2][Ring1][Ring2],CC[C@@H1](C([O-1])=O)CNC=CC(=O)N1CC=NN(C)C1CC=C
[C][N][Branch1][C][C][N][=C][Ring1][Branch1][C][Branch2][Ring1][Ring1][N][C][C][=Branch1][C][=O][N][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][Ring1][S][=O],C1N(C)N=C1C(NCC(=O)N(C)CC([O-1])=O)=CO
[N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][N][Branch1][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][Ring1][=N][=O][C][Branch1][C][C][=C][Ring2][Ring1][#Branch1],N1C(=O)CC=C(N2C(=O)CN(C3=C(C)C=CC=C3)C2)OC(C)=C1
