epoch,train_loss
1,1.7659675542917628
2,1.5012352695572848
3,1.4328035055580786
4,1.3871427659934523
5,1.3486816566542716
6,1.3179361227541992
7,1.2944618146971794
8,1.274862770306862
9,1.257208820116722
10,1.2432894585496288
11,1.2306874700858768
12,1.2173670119484938
13,1.20614898474203
14,1.198235989963941
15,1.1879099775842354
16,1.1792499581299258
17,1.171314471185544
18,1.1649105393953916
19,1.1572301717801283
20,1.1496527067012032
21,1.1441345228313726
22,1.1382024490227134
23,1.1320284463591495
24,1.1268802625311296
25,1.123394456960387
26,1.1184378027242456
27,1.1132028486769079
28,1.1065486022981548
29,1.1043723794700062
30,1.0985748410898413
