selfies,smiles
[N][=C][C][Branch2][Ring2][Branch1][S][=Branch1][C][=O][Branch1][N][N][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][N][Branch2][Ring1][=Branch2][N][Branch1][C][C][C][=Branch1][C][=O][C][C][N][Branch1][C][C][N][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Ring2][=C][C][=N][Ring2][Ring1][N],N=C1C(S(=O)(NC2=C(F)C=CC)CNN(C)C(=O)CCN(C)N=CCC2=C)C=N1
[C][C][C][C][Branch2][Ring2][Branch1][C@H1][C][C][N][Branch2][Ring1][#Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][C][Ring2][Ring1][Ring1][=O][C][Ring2][Ring1][N],C1CCC([C@H1]CCN1CCCNC(=O)[C@@H1](CC2=CC=CC=C2C)C)=O
[C][O][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][N][=C][N][Ring1][N][C][Branch1][C][O-1][=O],COC=C(C(N)=O)C=C(N1CCOCC1)C=CN=CNC([O-1])=O
[C][Branch1][C][C][=C][C][=C][C][=C][Ring1][#Branch1][N][C][=C][N][Branch1][C][C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1],C1(C)=CC=CC=C1NC2=CN(C)N=C2C(=O)N3CCOCC3
[C@@H1][Branch2][Ring2][Ring1][C][N][C][=Branch1][C][=O][C][C][C][Branch2][Ring1][Ring1][N][C][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][C][Ring1][=Branch2][=C][C][=C][Ring2][Ring1][C][C][C][C][Ring2][Ring1][Branch2],[C@@H1]1(CNC(=O)CCC1(N2C[C@@H1](CC(=O)[O-1])CC2=CC=C)C)CC
[C][Branch2][Ring2][O][C][=C][Branch1][C][C][N][Branch2][Ring1][O][C][Branch2][Ring1][=Branch1][C@H1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][Ring1][N][=O][N][=Ring2][Ring1][Ring1][=C][C][=C][N][=C][Ring2][Ring1][Branch2][C],C1(C=C(C)N(C21[C@H1]C(=O)N(C3=CC=NC=C3)C2=O)CC=CN=C)C
[C][=C][N][Branch1][P][C][Branch1][O][C][N][=C][NH1][C][=C][C][=N][C][=C][Ring1][=Branch1][=O][C][=Ring2][Ring1][=Branch1][Ring1][P],C12=CN(C1(CN=C[NH1]C=CC=NC=C)O)C2
[C][=C][Branch2][Ring1][S][N][C][=Branch1][C][=O][N][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Ring1][=Branch2][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][N][C],C1=C(NC(=O)NCCCNC(=O)C2=CC=CC=C2NC=O)C=CC=C1C
[C][=C][Branch1][C][O][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][Branch2][Ring1][O][N][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][=C][=C][Ring2][Ring1][#Branch1],C=C(O)C([N+1](=O)[O-1])=CCN1CC(=O)N(C2=CC=CC=C2)C(=O)N1C
[C][Branch2][Ring1][=Branch1][N][C][C][=C][C][=C][Branch1][=Branch2],CNCC=CC=C
[C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][N][Branch2][Ring1][Branch2][C][C][=Branch1][C][=O][N][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][C][Ring1][N][C][=Ring2][Ring1][Branch1][N][C][Branch1][Branch2][C][=C][C][=N][N][=C][Ring1][=Branch1][=O],C(C([O-1])=O)=CN(CC(=O)N1CCC2=CC(Cl)=CC=C2CC1)CNC(C3=CC=NN=C3)=O
[O-1][C][=Branch1][C][=O][C@H1][C@@H1][Branch2][Ring2][O][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][N][Ring1][O][C][C][C][C][C@H1][Ring1][P][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][Ring2][Ring1][N][C],[O-1]C(=O)[C@H1][C@@H1]1C2=NC(C3=CC=CC=C3)=NN2CCCC[C@H1]1C(=O)NCC(=O)NC
