epoch,train_loss
1,2.227090666691462
2,1.759224298927519
3,1.6439151465892792
4,1.5900131430890825
5,1.5527152518431346
6,1.5240282317002614
7,1.5035408470365736
8,1.4806433584955003
9,1.4650404122140672
10,1.4464540017975702
11,1.4314857489532895
12,1.4158298803700342
13,1.4069537387953863
14,1.395204871892929
15,1.384173419740465
16,1.3762187759081523
17,1.3642914361423917
18,1.3554761277304754
19,1.3461056682798598
20,1.3325394060876634
21,1.3261157671610515
22,1.3207993408044179
23,1.3099146882692974
24,1.3050833410686917
25,1.2961702545483906
26,1.2876510587003496
27,1.28372503651513
28,1.2784900863965352
29,1.269576562775506
30,1.2632124423980713
