epoch,train_loss
1,2.4204149776034884
2,1.6909186641375225
3,1.4486183590359158
4,1.3347539835506015
5,1.2704669104682074
6,1.222783671485053
7,1.1847036944495306
8,1.1553704937299092
9,1.1300947666168213
10,1.1066068808237712
11,1.0895159310764737
12,1.0705878403451707
13,1.051357090473175
14,1.0372729566362169
15,1.0214214887883928
16,1.0090091692076788
17,0.999415483739641
18,0.9910175270504422
19,0.9790990783108605
20,0.9711048271920946
21,0.9618540704250336
22,0.9516002535820007
23,0.9447568787468804
24,0.9364384081628587
25,0.928283820549647
26,0.9246363772286309
27,0.9176885253853269
28,0.9100507630242242
29,0.9050184753206041
30,0.8990305993292067
31,0.8936390611860487
32,0.8857036762767367
33,0.880603465769026
34,0.8734925852881538
35,0.8697842591338687
36,0.8642676340209113
37,0.8624065220355988
38,0.8536545435587565
39,0.8508385188049741
40,0.8451324966218736
41,0.8400251004430983
42,0.8384581307570139
43,0.8307049141989814
44,0.8269877632459005
45,0.8241186771127913
46,0.8218529489305284
47,0.814807073937522
48,0.8135814434952207
49,0.8095228672027588
50,0.8046699364980062
