epoch,train_loss
1,0.8030276765649238
2,0.6450562130534248
3,0.6014480122019735
4,0.5746643990278244
5,0.5544927833455332
6,0.5395638664786735
7,0.5274533251865526
8,0.5182722889807787
9,0.5084695636054103
10,0.5013322400745381
11,0.49500111038430356
12,0.4881941709625587
13,0.48413414206732525
14,0.4785756150658211
15,0.47389843172571633
16,0.4695778011940838
17,0.4661036651958241
18,0.46233391083693237
19,0.45882494705781507
20,0.45559244393632653
21,0.45270315649804105
22,0.45008116692639466
23,0.44747793498668775
24,0.44521141119217605
25,0.4421202963992451
26,0.44035744499624446
27,0.43776987375838033
28,0.43721353672863394
29,0.4344067159998283
30,0.43283466793847886
31,0.4311720148733493
32,0.42965835098470195
33,0.42698493348748495
34,0.4259878540976664
35,0.4238851114772679
36,0.42293935629089224
37,0.4216388463973999
38,0.420205615963159
39,0.4187497009387177
40,0.4177890939826376
41,0.41534125486786444
42,0.4154438470186812
43,0.41384972104530654
44,0.4119410008359491
45,0.4117139279005233
46,0.41025626994250863
47,0.40899504118421104
48,0.40752318920044417
49,0.40750770622424864
50,0.4063720885622367
